# KIC 6102338 Q0 regularly spaced, with NaNs replaced
# BJD PDCSAP_flux
2.454964512954025995e+06 1.050330078125000000e+04
2.454964533388510346e+06 1.050449218750000000e+04
2.454964553822894581e+06 1.049872070312500000e+04
2.454964574257178698e+06 1.049044335937500000e+04
2.454964594691562932e+06 1.049052636718750000e+04
2.454964615126046352e+06 1.048745410156250000e+04
2.454964635560330003e+06 1.053899609375000000e+04
2.454964655994713772e+06 1.050833496093750000e+04
2.454964676429197192e+06 1.049590039062500000e+04
2.454964696863580495e+06 1.047498828125000000e+04
2.454964717297863681e+06 1.048159863281250000e+04
2.454964737732246518e+06 1.049195800781250000e+04
2.454964758166729473e+06 1.046087988281250000e+04
2.454964778601012193e+06 1.046173828125000000e+04
2.454964799035394564e+06 1.046035937500000000e+04
2.454964819469877053e+06 1.045969238281250000e+04
2.454964839904159307e+06 1.046130761718750000e+04
2.454964860338541213e+06 1.047078222656250000e+04
2.454964880772923585e+06 1.046699218750000000e+04
2.454964901207305491e+06 1.045583789062500000e+04
2.454964921641687397e+06 1.044330957031250000e+04
2.454964942076068837e+06 1.043771191406250000e+04
2.454964962510450277e+06 1.043721875000000000e+04
2.454964982944831718e+06 1.043361425781250000e+04
2.454965003379212692e+06 1.045868652343750000e+04
2.454965023813494015e+06 1.045749414062500000e+04
2.454965044247974642e+06 1.044329394531250000e+04
2.454965064682355616e+06 1.044623925781250000e+04
2.454965085116636008e+06 1.044435742187500000e+04
2.454965105551016517e+06 1.043652148437500000e+04
2.454965125985496677e+06 1.044410937500000000e+04
2.454965146419777069e+06 1.043200976562500000e+04
2.454965166854157113e+06 1.043522558593750000e+04
2.454965187288636807e+06 1.042648144531250000e+04
2.454965207723016851e+06 1.042289453125000000e+04
2.454965228157296311e+06 1.044204882812500000e+04
2.454965248591675889e+06 1.044460156250000000e+04
2.454965269026155118e+06 1.045309472656250000e+04
2.454965289460434578e+06 1.043921191406250000e+04
2.454965309894813690e+06 1.043456347656250000e+04
2.454965330329292454e+06 1.043000097656250000e+04
2.454965350763571449e+06 1.043244921875000000e+04
2.454965371197950095e+06 1.041790722656250000e+04
2.454965391632328741e+06 1.043126660156250000e+04
2.454965412066706922e+06 1.043204589843750000e+04
2.454965432501085103e+06 1.043154785156250000e+04
2.454965452935463283e+06 1.043704296875000000e+04
2.454965473369941115e+06 1.043958496093750000e+04
2.454965493804219179e+06 1.044188964843750000e+04
2.454965514238596894e+06 1.044452539062500000e+04
2.454965534672874026e+06 1.045002246093750000e+04
2.454965555107351393e+06 1.045356835937500000e+04
2.454965575541729107e+06 1.044644726562500000e+04
2.454965595976005774e+06 1.045636035156250000e+04
2.454965616410482675e+06 1.045445898437500000e+04
2.454965636844859924e+06 1.046943359375000000e+04
2.454965657279236242e+06 1.047183984375000000e+04
2.454965677713512909e+06 1.046135546875000000e+04
2.454965698147989344e+06 1.047420703125000000e+04
2.454965718582365662e+06 1.048645898437500000e+04
2.454965739016641397e+06 1.048429199218750000e+04
2.454965759451117367e+06 1.048889160156250000e+04
2.454965779885493219e+06 1.049063964843750000e+04
2.454965800319768954e+06 1.048530078125000000e+04
2.454965820754144341e+06 1.065058496093750000e+04
2.454965841188619845e+06 1.061259179687500000e+04
2.454965861622895114e+06 1.054923925781250000e+04
2.454965882057270035e+06 1.053466601562500000e+04
2.454965902491745539e+06 1.054106640625000000e+04
2.454965922926020343e+06 1.052836035156250000e+04
2.454965943360394798e+06 1.053290039062500000e+04
2.454965963794769254e+06 1.052854492187500000e+04
2.454965984229243826e+06 1.052580175781250000e+04
2.454966004663518164e+06 1.053569531250000000e+04
2.454966025097892154e+06 1.054962597656250000e+04
2.454966045532265678e+06 1.056989062500000000e+04
2.454966065966639668e+06 1.059045898437500000e+04
2.454966086401013657e+06 1.056161035156250000e+04
2.454966106835387181e+06 1.055705078125000000e+04
2.454966127269760240e+06 1.054601562500000000e+04
2.454966147704133764e+06 1.055348046875000000e+04
2.454966168138506822e+06 1.055236621093750000e+04
2.454966188572879881e+06 1.055902050781250000e+04
2.454966209007352591e+06 1.056671386718750000e+04
2.454966229441625066e+06 1.056177539062500000e+04
2.454966249875997659e+06 1.058494628906250000e+04
2.454966270310369786e+06 1.058739062500000000e+04
2.454966290744741913e+06 1.058572851562500000e+04
2.454966311179114040e+06 1.059563183593750000e+04
2.454966331613386050e+06 1.059192187500000000e+04
2.454966352047857828e+06 1.060783593750000000e+04
2.454966372482229490e+06 1.059589550781250000e+04
2.454966392916601151e+06 1.060462597656250000e+04
2.454966413350972347e+06 1.059519238281250000e+04
2.454966433785343543e+06 1.061291406250000000e+04
2.454966454219714738e+06 1.060925976562500000e+04
2.454966474653985351e+06 1.061543847656250000e+04
2.454966495088456664e+06 1.061885351562500000e+04
2.454966515522826929e+06 1.062532714843750000e+04
2.454966535957097542e+06 1.062716015625000000e+04
2.454966556391567923e+06 1.064241210937500000e+04
2.454966576825938188e+06 1.066139941406250000e+04
2.454966597260207869e+06 1.065102441406250000e+04
2.454966617694578134e+06 1.063566992187500000e+04
2.454966638129047584e+06 1.064439160156250000e+04
2.454966658563417383e+06 1.064792578125000000e+04
2.454966678997686598e+06 1.064006152343750000e+04
2.454966699432156049e+06 1.065264257812500000e+04
2.454966719866525382e+06 1.066682226562500000e+04
2.454966740300794132e+06 1.066526464843750000e+04
2.454966760735162999e+06 1.067209765625000000e+04
2.454966781169631518e+06 1.066736132812500000e+04
2.454966801603900269e+06 1.067397558593750000e+04
2.454966822038268670e+06 1.066571777343750000e+04
2.454966842472637072e+06 1.066508886718750000e+04
2.454966862907005008e+06 1.067655566406250000e+04
2.454966883341372944e+06 1.068614160156250000e+04
2.454966903775740881e+06 1.067588281250000000e+04
2.454966924210108817e+06 1.067888085937500000e+04
2.454966944644476287e+06 1.067875000000000000e+04
2.454966965078843758e+06 1.068728515625000000e+04
2.454966985513110645e+06 1.068757421875000000e+04
2.454967005947578233e+06 1.068361035156250000e+04
2.454967026381944772e+06 1.069079199218750000e+04
2.454967046816211659e+06 1.068991406250000000e+04
2.454967067250678316e+06 1.068580859375000000e+04
2.454967087685044855e+06 1.068967480468750000e+04
2.454967108119311277e+06 1.069258300781250000e+04
2.454967128553677350e+06 1.069265332031250000e+04
2.454967148988143541e+06 1.069815917968750000e+04
2.454967169422509149e+06 1.069731738281250000e+04
2.454967189856775105e+06 1.069047558593750000e+04
2.454967210291240830e+06 1.069083691406250000e+04
2.454967230725606438e+06 1.069163867187500000e+04
2.454967251159871463e+06 1.069018164062500000e+04
2.454967271594236605e+06 1.068446289062500000e+04
2.454967292028701864e+06 1.068866992187500000e+04
2.454967312462966423e+06 1.068725292968750000e+04
2.454967332897331100e+06 1.066864160156250000e+04
2.454967353331795894e+06 1.067877246093750000e+04
2.454967373766059987e+06 1.067330761718750000e+04
2.454967394200424664e+06 1.067330761718750000e+04
2.454967414634788875e+06 1.067410351562500000e+04
2.454967435069152620e+06 1.068048339843750000e+04
2.454967455503516365e+06 1.066659375000000000e+04
2.454967475937880110e+06 1.065817968750000000e+04
2.454967496372343507e+06 1.065638281250000000e+04
2.454967516806607135e+06 1.065514746093750000e+04
2.454967537240970414e+06 1.067299609375000000e+04
2.454967557675233576e+06 1.065613378906250000e+04
2.454967578109696507e+06 1.064673242187500000e+04
2.454967598544059321e+06 1.065050878906250000e+04
2.454967618978321552e+06 1.063798535156250000e+04
2.454967639412684366e+06 1.065022851562500000e+04
2.454967659847146366e+06 1.065200390625000000e+04
2.454967680281508714e+06 1.064681445312500000e+04
2.454967700715870596e+06 1.063470410156250000e+04
2.454967721150232479e+06 1.063684472656250000e+04
2.454967741584594361e+06 1.063169824218750000e+04
2.454967762018856127e+06 1.063256640625000000e+04
2.454967782453217544e+06 1.061898632812500000e+04
2.454967802887678612e+06 1.062308105468750000e+04
2.454967823322039563e+06 1.061315917968750000e+04
2.454967843756300863e+06 1.061343847656250000e+04
2.454967864190761466e+06 1.061097753906250000e+04
2.454967884625122417e+06 1.060999414062500000e+04
2.454967905059482902e+06 1.060820507812500000e+04
2.454967925493743271e+06 1.059516406250000000e+04
2.454967945928203408e+06 1.059762304687500000e+04
2.454967966362563428e+06 1.060173632812500000e+04
2.454967986796823330e+06 1.060105859375000000e+04
2.454968007231283002e+06 1.059335644531250000e+04
2.454968027665642556e+06 1.060137304687500000e+04
2.454968048099901993e+06 1.058920703125000000e+04
2.454968068534261547e+06 1.059088085937500000e+04
2.454968088968720287e+06 1.059950878906250000e+04
2.454968109402979724e+06 1.058866796875000000e+04
2.454968129837338347e+06 1.059793750000000000e+04
2.454968150271797087e+06 1.057869531250000000e+04
2.454968170706155710e+06 1.058612402343750000e+04
2.454968191140414216e+06 1.057744042968750000e+04
2.454968211574771907e+06 1.058693945312500000e+04
2.454968232009230182e+06 1.057964843750000000e+04
2.454968252443488222e+06 1.057685839843750000e+04
2.454968272877845913e+06 1.057678515625000000e+04
2.454968293312103488e+06 1.057639160156250000e+04
2.454968313746561296e+06 1.056931445312500000e+04
2.454968334180918522e+06 1.057502929687500000e+04
2.454968354615175631e+06 1.056901757812500000e+04
2.454968375049632508e+06 1.056935058593750000e+04
2.454968395483989269e+06 1.057034472656250000e+04
2.454968415918346029e+06 1.056654882812500000e+04
2.454968436352602672e+06 1.056648828125000000e+04
2.454968456787059084e+06 1.057168261718750000e+04
2.454968477221415378e+06 1.057492968750000000e+04
2.454968497655671556e+06 1.057081835937500000e+04
2.454968518090127502e+06 1.058088671875000000e+04
2.454968538524483331e+06 1.056710449218750000e+04
2.454968558958738577e+06 1.056869628906250000e+04
2.454968579393094406e+06 1.056366308593750000e+04
2.454968599827549420e+06 1.056616406250000000e+04
2.454968620261804666e+06 1.057179589843750000e+04
2.454968640696159564e+06 1.057043359375000000e+04
2.454968661130614579e+06 1.056168652343750000e+04
2.454968681564969476e+06 1.056869335937500000e+04
2.454968701999223791e+06 1.060163183593750000e+04
2.454968722433578223e+06 1.057623242187500000e+04
2.454968742868032306e+06 1.055766210937500000e+04
2.454968763302286621e+06 1.058332324218750000e+04
