# KIC 6102338 Q16
# BJD PDCSAP_flux
2.456305116981094237e+06 9.548772460937500000e+03
2.456305137414383236e+06 9.551796875000000000e+03
2.456305157847472467e+06 9.555047851562500000e+03
2.456305178280762397e+06 9.556368164062500000e+03
2.456305198713952210e+06 9.552282226562500000e+03
2.456305219147042371e+06 9.563002929687500000e+03
2.456305239580332767e+06 9.569563476562500000e+03
2.456305260013523977e+06 9.570621093750000000e+03
2.456305280446615070e+06 9.599613281250000000e+03
2.456305300879906397e+06 9.598028320312500000e+03
2.456305321313098073e+06 9.592118164062500000e+03
2.456305341746290214e+06 9.591585937500000000e+03
2.456305362179482821e+06 9.596264648437500000e+03
2.456305382612675428e+06 9.593040039062500000e+03
2.456305403045968153e+06 9.588290039062500000e+03
2.456305423479061574e+06 9.600290039062500000e+03
2.456305443912255112e+06 9.604693359375000000e+03
2.456305464345548768e+06 9.622905273437500000e+03
2.456305484778743237e+06 9.623346679687500000e+03
2.456305505211837590e+06 9.631935546875000000e+03
2.456305525645132642e+06 9.627444335937500000e+03
2.456305546078327578e+06 9.620166992187500000e+03
2.456305566511522979e+06 9.613476562500000000e+03
2.456305586944718380e+06 9.621647460937500000e+03
2.456305607377914246e+06 9.620526367187500000e+03
2.456305627811110578e+06 9.624846679687500000e+03
2.456305648244307376e+06 9.630525390625000000e+03
2.456305668677504174e+06 9.625933593750000000e+03
2.456305689110701438e+06 9.630092773437500000e+03
2.456305709543898702e+06 9.624892578125000000e+03
2.456305729976996314e+06 9.634372070312500000e+03
2.456305750410294626e+06 9.640656250000000000e+03
2.456305770843492821e+06 9.633840820312500000e+03
2.456305791276791599e+06 9.637325195312500000e+03
2.456305811709890608e+06 9.640892578125000000e+03
2.456305832143089734e+06 9.652248046875000000e+03
2.456305852576389443e+06 9.641044921875000000e+03
2.456305873009489384e+06 9.634983398437500000e+03
2.456305893442689441e+06 9.633643554687500000e+03
2.456305913875990082e+06 9.632423828125000000e+03
2.456305934309090488e+06 9.641653320312500000e+03
2.456305975175593048e+06 9.638318359375000000e+03
2.456305995608794969e+06 9.646134765625000000e+03
2.456306016041996889e+06 9.640240234375000000e+03
2.456306036475199275e+06 9.631559570312500000e+03
2.456306056908401661e+06 9.628059570312500000e+03
2.456306077341604512e+06 9.632282226562500000e+03
2.456306097774807829e+06 9.618840820312500000e+03
2.456306118208011147e+06 9.615238281250000000e+03
2.456306138641315047e+06 9.626139648437500000e+03
2.456306159074418712e+06 9.622831054687500000e+03
2.456306179507723544e+06 9.619860351562500000e+03
2.456306199940927792e+06 9.629474609375000000e+03
2.456306220374032855e+06 9.617582031250000000e+03
2.456306240807338152e+06 9.599875976562500000e+03
2.456306261240543798e+06 9.601815429687500000e+03
2.456306281673649792e+06 9.593481445312500000e+03
2.456306302106956020e+06 9.585504882812500000e+03
2.456306322540162597e+06 9.582177734375000000e+03
2.456306342973269522e+06 9.585661132812500000e+03
2.456306363406576216e+06 9.598506835937500000e+03
2.456306383839684073e+06 9.591205078125000000e+03
2.456306404272991698e+06 9.578960937500000000e+03
2.456306424706199672e+06 9.561759765625000000e+03
