# KIC 6102338 Q3
# BJD PDCSAP_flux
2.455093244830428623e+06 1.002402734375000000e+04
2.455093265263263602e+06 1.002459277343750000e+04
2.455093285695997998e+06 1.002679882812500000e+04
2.455093306128932629e+06 1.001970800781250000e+04
2.455093326561767142e+06 1.001266406250000000e+04
2.455093346994501539e+06 1.000561132812500000e+04
2.455093367427335586e+06 1.000076757812500000e+04
2.455093387860269751e+06 1.000197460937500000e+04
2.455093408293003216e+06 9.997922851562500000e+03
2.455093428725836799e+06 9.988878906250000000e+03
2.455093449158770498e+06 9.978117187500000000e+03
2.455093469591503497e+06 9.980883789062500000e+03
2.455093490024336614e+06 9.976505859375000000e+03
2.455093510457269847e+06 9.979179687500000000e+03
2.455093530890002381e+06 9.983694335937500000e+03
2.455093551322835032e+06 9.964487304687500000e+03
2.455093571755667217e+06 9.969205078125000000e+03
2.455093592188599519e+06 9.968409179687500000e+03
2.455093612621331587e+06 9.963164062500000000e+03
2.455093633054163773e+06 9.957685546875000000e+03
2.455093653487095144e+06 9.966730468750000000e+03
2.455093673919826746e+06 9.956121093750000000e+03
2.455093694352658466e+06 9.960041992187500000e+03
2.455093714785389602e+06 9.956314453125000000e+03
2.455093735218320508e+06 9.961489257812500000e+03
2.455093755651151296e+06 9.969311523437500000e+03
2.455093776083982084e+06 9.950325195312500000e+03
2.455093796516812406e+06 9.945766601562500000e+03
2.455093816949642729e+06 9.959491210937500000e+03
2.455093837382372934e+06 9.957160156250000000e+03
2.455093857815203257e+06 9.939126953125000000e+03
2.455093878248132765e+06 9.937264648437500000e+03
2.455093898680962622e+06 9.934948242187500000e+03
2.455093919113692362e+06 9.940138671875000000e+03
2.455093939546621870e+06 9.943510742187500000e+03
2.455093959979350679e+06 9.944382812500000000e+03
2.455093980412180070e+06 9.942970703125000000e+03
2.455094000845108647e+06 9.942666992187500000e+03
2.455094021277837455e+06 9.952323242187500000e+03
2.455094041710665915e+06 9.943615234375000000e+03
2.455094062143494375e+06 9.940476562500000000e+03
2.455094082576322369e+06 9.934790039062500000e+03
2.455094103009150364e+06 9.943541015625000000e+03
2.455094123441978358e+06 9.944986328125000000e+03
2.455094143874906003e+06 9.951403320312500000e+03
2.455094164307633415e+06 9.953214843750000000e+03
2.455094184740460943e+06 1.016689160156250000e+04
2.455094205173187889e+06 1.020188085937500000e+04
2.455094225606115069e+06 1.009728417968750000e+04
2.455094246038942132e+06 1.010430371093750000e+04
2.455094266471668612e+06 1.008494531250000000e+04
2.455094286904595327e+06 1.006690136718750000e+04
2.455094307337421458e+06 1.003490234375000000e+04
2.455094327770247590e+06 1.001597949218750000e+04
2.455094348202973604e+06 1.000658007812500000e+04
2.455094368635899853e+06 1.000071777343750000e+04
2.455094389068725053e+06 9.998096679687500000e+03
2.455094409501451068e+06 9.985695312500000000e+03
2.455094429934375919e+06 9.981403320312500000e+03
2.455094450367201585e+06 9.980542968750000000e+03
2.455094491232851055e+06 9.977356445312500000e+03
2.455094511665675789e+06 9.973964843750000000e+03
2.455094532098400407e+06 9.975476562500000000e+03
2.455094552531224675e+06 9.981612304687500000e+03
2.455094572964149062e+06 9.980731445312500000e+03
2.455094593396972865e+06 9.979678710937500000e+03
2.455094613829696551e+06 9.972813476562500000e+03
2.455094634262620471e+06 9.989819335937500000e+03
2.455094654695443809e+06 9.982701171875000000e+03
2.455094675128167495e+06 9.984164062500000000e+03
2.455094695560990367e+06 9.985517578125000000e+03
2.455094715993913356e+06 9.990665039062500000e+03
2.455094736426636577e+06 9.985740234375000000e+03
2.455094756859458983e+06 9.991828125000000000e+03
2.455094777292381506e+06 9.982022460937500000e+03
2.455094797725104261e+06 9.986052734375000000e+03
2.455094818157926202e+06 9.978626953125000000e+03
2.455094838590748142e+06 9.984646484375000000e+03
2.455094859023570083e+06 9.981948242187500000e+03
2.455094879456392024e+06 9.981750000000000000e+03
2.455094899889213499e+06 9.984396484375000000e+03
2.455094920322135091e+06 9.980597656250000000e+03
2.455094940754855983e+06 9.993207031250000000e+03
2.455094961187676992e+06 9.991804687500000000e+03
2.455094981620598119e+06 9.999038085937500000e+03
2.455095002053318545e+06 1.000165527343750000e+04
2.455095022486139555e+06 9.999197265625000000e+03
2.455095042918859515e+06 9.995913085937500000e+03
2.455095063351779711e+06 9.992876953125000000e+03
2.455095083784599788e+06 9.989293945312500000e+03
2.455095104217419866e+06 9.996106445312500000e+03
2.455095124650239944e+06 9.981711914062500000e+03
2.455095145083059091e+06 9.993016601562500000e+03
2.455095165515878703e+06 9.987870117187500000e+03
2.455095185948597733e+06 9.991163085937500000e+03
2.455095206381516997e+06 1.000567675781250000e+04
2.455095226814336143e+06 9.997902343750000000e+03
2.455095247247054707e+06 1.000408789062500000e+04
2.455095267679973505e+06 1.000408691406250000e+04
2.455095288112691604e+06 9.995426757812500000e+03
2.455095308545510285e+06 9.992173828125000000e+03
2.455095328978328034e+06 9.986994140625000000e+03
2.455095349411146250e+06 9.992232421875000000e+03
2.455095369843963999e+06 9.988021484375000000e+03
2.455095390276781749e+06 9.996123046875000000e+03
2.455095410709599033e+06 1.000646289062500000e+04
2.455095431142416317e+06 9.987984375000000000e+03
2.455095451575233601e+06 9.992929687500000000e+03
2.455095472008150537e+06 9.984916015625000000e+03
2.455095492440867238e+06 9.986493164062500000e+03
2.455095512873684056e+06 9.988291015625000000e+03
2.455095533306400292e+06 9.987497070312500000e+03
2.455095553739316761e+06 9.986178710937500000e+03
2.455095574172133114e+06 9.981389648437500000e+03
2.455095594604849350e+06 9.971426757812500000e+03
2.455095615037764888e+06 9.977305664062500000e+03
2.455095635470580775e+06 9.980462890625000000e+03
2.455095655903396197e+06 9.979962890625000000e+03
2.455095676336111501e+06 9.986920898437500000e+03
2.455095696769026574e+06 9.978366210937500000e+03
2.455095717201841995e+06 9.975709960937500000e+03
2.455095737634556834e+06 9.963640625000000000e+03
