#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-03T20:35:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ62212601163b58 
#INFO -out.max=unlimited 
#INFO queryParameters=9 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/A+A/639/A77&tab:{J/A+A/639/A77/tablea1}&key:source=J/A+A/639/A77/tablea1&HTTPPRM:&
#-source=J/A+A/639/A77/tablea1
#-order=I
#-out=BJD
#-out=DRV
#-out=e_DRV
#-out=Spec
#

#RESOURCE=yCat_36390077
#Name: J/A+A/639/A77
#Title: Proxima Cen RV, FWHM and fluxes (Suarez Mascareno+, 2020)
#Table J_A_A_639_A77_tablea1:
#Name: J/A+A/639/A77/tablea1
#Title: Radial velocity data
#---Details of Columns:
    BJD (d)     (F8.3)  Barycentric Julian date (BJD-2450000) [ucd=time.epoch]
    DRV (m/s)   (F5.2)  Relative radial velocity [ucd=phys.veloc;arith.diff]
    e_DRV (m/s) (F5.2)  Relative radial velocity uncertainty [ucd=stat.error]
    Spec        (I1)    [0/4] Spectrograph (1) [ucd=meta.code]
-------- ----- ----- -
                     S
               e     p
         DRV   _DRV  e
BJD (d)  (m/s) (m/s) c
-------- ----- ----- -
1634.731  3.41  0.60 0
1654.614  0.18  0.72 0
1681.775 -2.72  0.75 0
1688.549  2.32  0.59 0
1707.625  0.16  0.57 0
1737.530 -1.85  0.79 0
1740.578  1.58  0.67 0
1761.552 -1.20  0.51 0
1818.499 -1.57  0.73 0
1919.844 -0.28  0.58 0
1946.808 -0.07  0.60 0
2118.517 -0.71  0.70 0
2119.500 -2.11  0.69 0
2120.498 -1.56  0.55 0
2121.503  1.26  0.54 0
2122.503  1.02  0.55 0
2123.514  1.34  0.51 0
2124.507  0.99  0.57 0
2125.503 -0.10  0.51 0
2126.507  0.33  0.51 0
2127.501 -0.41  0.55 0
2128.508 -1.51  0.58 0
2129.516 -1.65  0.55 0
2130.519 -2.31  0.54 0
2131.502 -1.87  0.56 0
2134.519  0.94  0.65 0
2135.536 -0.14  0.64 0
2308.860 -3.00  0.52 0
2320.841  0.63  0.67 0
2336.852  0.21  0.39 0
2380.678 -1.44  0.67 0
2394.732 -2.20  0.58 0
2415.596 -0.68  0.83 0
2424.621  0.21  0.65 0
2425.650  0.38  0.78 0
2437.549  0.86  0.59 0
2482.643 -0.66  0.84 0
2490.595 -1.29  0.84 0
2530.506 -0.85  0.62 0
2532.509 -1.13  0.59 0
2657.834 -2.36  0.68 0
2659.799 -1.36  0.67 0
2684.825 -1.89  0.73 0
2709.692 -3.25  0.64 0
2743.836  1.67  0.61 0
2761.519 -0.57  0.63 0
2767.896 -1.75  0.81 0
2788.496  1.76  0.69 0
3071.883 -2.56  0.64 0
3076.889 -4.35  0.71 0
3088.838  2.98  0.57 0
3090.887  0.27  0.68 0
3095.895  3.87  0.72 0
3096.879  5.29  0.68 0
3098.795  2.64  0.64 0
3112.690 -2.72  1.39 0
3118.556  0.48  0.69 0
3125.694 -3.21  0.62 0
3128.599  2.31  0.62 0
3133.535  1.73  0.78 0
3207.486  0.45  0.73 0
3394.854 -3.23  0.61 0
3413.836  0.81  0.69 0
3430.843 -1.04  0.56 0
3443.870  2.85  0.60 0
3453.767  3.10  0.62 0
3465.827 -0.83  0.78 0
3487.687  4.09  0.67 0
3495.729  3.43  0.64 0
3520.520  2.43  0.89 0
3748.863  1.40  0.66 0
3783.715  1.82  0.66 0
3813.684 -1.32  0.64 0
3823.610  1.25  0.67 0
4170.860 -0.12  0.62 0
4188.884 -2.44  0.64 0
4189.713 -2.42  0.69 0
3152.600  0.17  1.15 1
3207.508 -0.99  1.81 1
3577.496  1.98  1.23 1
3809.894 -1.49  1.25 1
3810.784 -0.15  1.19 1
3812.782  1.59  1.26 1
3816.810 -3.43  1.24 1
4173.818  0.14  1.19 1
4293.586  1.33  1.27 1
4296.593  0.14  1.37 1
4299.598  4.76  1.38 1
4300.558 -2.48  1.29 1
4646.569  0.65  1.23 1
4658.564  1.69  1.32 1
4666.543  0.12  1.22 1
4878.864 -0.02  1.17 1
4879.830  1.91  1.25 1
4881.874  0.14  1.16 1
4882.854 -0.48  1.16 1
4883.862  0.51  1.35 1
4884.835  1.53  1.27 1
4885.875  0.02  1.20 1
4886.844 -0.44  1.31 1
4989.652  2.38  1.23 1
4992.650  1.58  1.27 1
5053.556  1.04  1.27 1
5057.538 -0.56  1.26 1
5275.772  3.47  1.41 1
5276.871  3.83  1.52 1
5277.806  1.85  1.45 1
5278.791  2.90  1.46 1
5279.792  2.61  1.77 1
5280.794 -0.44  1.36 1
5281.760 -2.82  1.45 1
5282.814 -3.69  1.30 1
5283.779 -3.72  1.36 1
5292.803 -1.29  1.27 1
5611.807  7.08  1.27 1
5641.751 -0.92  1.30 1
5644.791  0.82  1.15 1
5645.759  2.35  1.26 1
5648.829  1.75  1.26 1
5653.650  0.87  1.23 1
5656.651  2.39  1.26 1
5659.778  1.08  1.30 1
5663.628  2.73  1.45 1
5673.722  4.28  1.39 1
5715.561  1.42  1.66 1
6310.841 -0.78  1.39 1
6320.867  0.54  1.28 1
6322.828 -0.93  1.33 1
6354.821 -1.07  1.40 1
6356.805 -0.19  1.33 1
6361.839 -0.20  1.28 1
6362.881 -1.86  1.36 1
6363.778 -1.30  1.36 1
6365.818 -3.58  1.32 1
6366.795 -3.68  1.47 1
6367.773 -5.78  1.40 1
6369.755 -3.93  1.23 1
6370.748 -4.46  1.22 1
6371.805 -2.93  1.22 1
6373.738  0.81  1.24 1
6374.764 -2.61  1.41 1
6417.712  2.02  1.03 1
6418.721 -1.07  1.00 1
6419.671 -1.31  1.26 1
6420.624 -1.25  1.02 1
6421.505  5.30  1.39 1
6423.668 -2.25  1.28 1
6424.570 -1.50  1.23 1
6426.592  0.72  1.07 1
6427.491  6.18  1.40 1
6428.518  6.67  1.50 1
6656.807  1.54  1.19 1
6657.809 -0.47  1.10 1
6658.820 -1.52  1.10 1
6659.831  1.21  1.16 1
6660.838 -0.80  1.24 1
6661.830  1.13  1.14 1
6663.856  1.86  1.15 1
6663.870  1.86  1.15 1
6665.796  2.86  1.16 1
6665.867  2.86  1.16 1
6666.826  3.28  1.09 1
6667.808  0.83  1.08 1
6667.863  0.83  1.08 1
7410.868  3.72  1.51 2
7412.867  5.34  1.26 2
7413.870  6.57  1.21 2
7414.871  2.53  1.29 2
7415.879  3.04  1.27 2
7416.872  2.77  1.21 2
7417.879  2.20  1.01 2
7420.883  1.81  1.13 2
7421.880  3.25  1.23 2
7422.868  1.04  1.10 2
7423.876  1.78  1.20 2
7425.883  4.69  1.19 2
7427.883  2.81  1.17 2
7428.880  0.92  1.15 2
7429.882 -2.10  1.24 2
7431.887  1.70  1.18 2
7432.883 -0.60  1.23 2
7433.891  2.42  1.34 2
7434.880  2.02  1.24 2
7436.859  3.77  1.26 2
7437.862  3.82  1.19 2
7438.858  2.05  1.29 2
7439.858  3.05  1.30 2
7440.863  1.89  1.36 2
7442.869 -1.05  1.31 2
7445.871  3.79  1.42 2
7446.872  3.13  1.24 2
7447.877  2.56  1.23 2
7448.880  3.40  1.34 2
7449.876  3.09  1.01 2
7450.897  3.41  1.36 2
7452.879  0.94  1.22 2
7453.912  0.52  1.32 2
7454.908 -0.14  1.42 2
7455.909  2.70  1.29 2
7456.908  0.88  1.37 2
7457.882  2.31  1.22 2
7458.898  1.54  1.36 2
7460.883  0.00  1.01 2
7461.884  0.75  1.19 2
7462.888 -0.50  1.23 2
7463.890 -1.08  1.47 2
7466.913 -1.22  1.24 2
7467.910 -3.08  1.27 2
7473.889 -1.04  1.57 2
7474.894 -2.59  1.24 2
7475.892  0.59  1.14 2
7476.889 -1.77  1.27 2
7477.898  0.36  1.39 2
7905.547 -0.17  1.09 2
7934.642 -4.07  1.62 2
7935.656 -2.22  1.40 2
7936.622 -1.98  1.55 2
7937.642  1.57  1.59 2
7942.575 -0.03  1.30 2
7943.561  0.61  1.31 2
7944.545 -2.24  1.24 2
7945.592 -2.50  1.27 2
7946.540 -0.50  1.18 2
7948.654 -2.90  1.04 2
7951.463 -0.50  1.77 2
7952.640  0.82  1.45 2
7953.473 -2.63  1.41 2
7954.628 -3.98  1.27 2
7955.637 -2.36  1.66 2
7956.473 -0.26  1.30 2
7959.473 -1.15  1.27 2
7960.463 -2.18  1.27 2
7961.485  1.29  1.52 2
7962.471  1.34  1.17 2
7964.473 -0.72  1.57 2
7965.476  0.93  2.00 2
7966.474 -2.33  1.40 2
7967.509  0.57  2.05 2
7968.479 -0.66  1.44 2
7969.471 -0.73  1.33 2
7970.476 -1.69  1.30 2
7971.467 -0.94  1.01 2
7972.465  1.04  1.48 2
7973.466  1.58  1.69 2
7974.463 -0.84  1.31 2
7979.459 -1.77  1.22 2
7980.461 -2.56  1.25 2
7981.505 -1.84  1.21 2
7984.504 -0.47  1.40 2
7985.504 -2.62  1.59 2
7987.525 -0.20  1.40 2
7990.490 -4.72  1.35 2
7991.508 -5.48  1.48 2
7992.503 -3.52  1.00 2
7993.490  0.28  1.42 2
7994.475 -0.33  1.33 2
7995.478 -3.26  1.09 2
7996.480 -1.11  1.35 2
7997.468 -2.94  1.47 2
7998.482 -2.28  1.56 2
8000.478 -0.45  1.64 2
8001.491 -5.03  1.01 2
8002.476 -3.96  1.42 2
8007.528  1.18  1.66 2
8011.489 -3.70  1.56 2
8012.476 -6.70  1.21 2
8013.475 -6.04  1.31 2
8018.513 -1.33  1.39 2
8019.479 -3.12  1.32 2
8020.483 -4.45  1.01 2
8025.474  1.57  1.65 2
8026.478 -1.89  1.48 2
8524.857 -0.64  0.25 3
8532.702 -0.09  0.26 3
8533.832 -1.62  0.24 3
8535.892 -2.67  0.25 3
8537.764 -3.52  0.29 3
8540.869 -0.94  0.49 3
8540.882 -0.41  0.50 3
8541.876  0.30  0.35 3
8541.890 -0.43  0.37 3
8542.899  1.63  0.33 3
8543.800  0.22  0.23 3
8544.709 -0.23  0.26 3
8550.864 -1.94  0.21 3
8555.796 -0.41  0.21 3
8560.872 -2.93  0.23 3
8561.789 -1.77  0.35 3
8561.845 -1.59  0.27 3
8562.865 -0.45  0.23 3
8568.878  0.02  0.24 3
8573.671 -1.77  0.22 3
8599.913  2.71  0.45 3
8600.888  2.51  0.49 3
8602.900  1.57  0.25 3
8603.782  1.32  0.27 3
8604.575  1.88  0.42 3
8604.610  2.01  0.44 3
8604.713  2.13  0.39 3
8606.785  0.68  0.25 3
8608.776  2.45  0.23 3
8609.679  3.11  0.32 3
8612.853  0.54  0.36 3
8614.496 -1.60  0.44 3
8616.559 -2.50  0.25 3
8622.648 -0.84  0.27 3
8624.752 -1.84  0.38 3
8625.750 -2.07  0.33 3
8626.609 -2.64  0.26 3
8628.766 -2.20  0.30 3
8633.532  0.93  0.24 3
8635.789 -0.15  0.45 3
8637.481 -2.12  0.27 3
8638.604 -2.32  0.28 3
8639.672 -1.35  0.36 3
8642.711 -1.00  0.22 3
8645.576  0.43  0.36 3
8645.625  0.82  0.46 3
8647.710 -3.17  0.51 3
8667.580  1.21  0.38 4
8678.597  2.95  0.21 4
8684.580  2.18  0.22 4
8688.515  5.26  0.30 4
8700.565  2.62  0.28 4
8706.494 -0.54  0.21 4
8716.505 -0.15  0.20 4
8718.512 -0.02  0.27 4
8720.497  1.91  0.29 4
8726.485  0.91  0.38 4
8731.485  2.94  0.21 4
8737.484  1.17  0.26 4
8741.472  0.00  0.25 4
8752.476  1.53  0.48 4
8753.474  2.00  0.23 4

#END#  -ref=VIZ62212601163b58 ================================================================
